flight_date,arrival_date
01/12/2024,01/19/2024
02/05/2024,02/12/2024
03/22/2024,03/29/2024
04/17/2024,04/24/2024
05/01/2024,05/08/2024
06/15/2024,06/22/2024
07/07/2024,07/14/2024
08/20/2024,08/27/2024
09/11/2024,09/18/2024
02/05/2024,02/09/2024
18/11/2024,11/25/2024
06/12/2024,12/13/2024
28/01/2024,02/04/2024
16/02/2024,23/02/2024
05/03/2024,03/12/2024
04/20/2024,04/27/2024
13/05/2024,05/20/2024
03/06/2024,06/10/2024
21/07/2024,07/28/2024
09/08/2024,08/16/2024
22/09/2024,09/29/2024
18/10/2024,10/25/2024
01/11/2024,11/08/2024
14/12/2024,12/21/2024
04/01/2024,01/11/2024
22/02/2024,02/29/2024
14/03/2024,03/21/2024
04/04/2024,04/11/2024
22/05/2024,05/29/2024
06/06/2024,06/13/2024
27/07/2024,07/03/2024
14/08/2024,08/21/2024
03/09/2024,09/10/2024
15/10/2024,10/22/2024
07/11/2024,11/14/2024
18/12/2024,12/25/2024
21/01/2024,01/28/2024
01/02/2024,02/08/2024
10/03/2024,03/17/2024
09/04/2024,04/16/2024
19/05/2024,05/26/2024
13/06/2024,06/20/2024
02/07/2024,07/09/2024
05/08/2024,08/12/2024
17/09/2024,09/24/2024
25/10/2024,10/01/2024
12/11/2024,11/19/2024
02/12/2024,12/09/2024
17/01/2024,01/24/2024
07/02/2024,02/14/2024
06/03/2024,03/13/2024
11/04/2024,04/18/2024
18/05/2024,05/25/2024
21/06/2024,06/28/2024
03/07/2024,07/10/2024
22/08/2024,08/29/2024
12/09/2024,09/19/2024
12/10/2024,10/19/2024
29/11/2024,11/06/2024
02/12/2024,12/09/2024
